Nowe oferty od A do F	PL	ENG		Region	WYBIERZ	Merchant name	Start date	Średnia ilosc paczek 2022	Średnia ilosc paczek od 1-9 2023	Status 2022	Status 10.2023	Reve	Pierwszy produkt w paczce	Ile miesięcy	Waluta	Region			Koszty per pozycja	PL	PL	PL	INT	INT	INT	Razem: Suma z WARTOŚC PLN bez produktu V3	Razem: Suma z ILOSC V2 (ujednolicone magazynowanie)	Razem: Suma z SREDNIA V3			PL	EUR	Arkusze z raportu	Koszty per klient	Pozycja V4	Średnia wartość w 06'-09'23 PLN	Średnie wystąpienia w 06'-09'23	Key	Ilosc				Etykiety wierszy	Suma z Liczba SKU (SUMA z okresów 06'-09')				Key	Master reve (średnia ważona 06'-09')					Key	Logo	Tech	Stary próg	Cena	Nowy próg	Tomek			2drink	6,1			SYMBOL 	NAZWA POLSKA	NAZWA ANGIELSKA	SYMBOL 	Strefa	KRAJ	STREFA			Oferty	Score			Logo	Kod	Typ	Pozycja	Ilosc		DACH	FULL CARRIER PRICE LIST	COUNTRY - CARRIER - WEIGHT	NEW RATE	8		PLN	1			Poprzedni poziom oferty	Nowy poziom oferty
																																		LefleoPL	Regał [1 m³]: (z dostępem do strefy pakowania)	1027,84	18	=AI449&AJ449	=AL449									MyBasicMerchant Support	736,5875																																																
																																		LEVANN	Regał [1 m³]: (z dostępem do strefy pakowania)	46,75	1	=AI450&AJ450	=AL450									MyBasicPackaging	7751,4875																																																
																																		Longvadon	Regał [1 m³]: (z dostępem do strefy pakowania)	992,63	16	=AI451&AJ451	=AL451									MyBasicWarehousing	29494,11																																																
																																		LustriNet	Regał [1 m³]: (z dostępem do strefy pakowania)	143,5	2	=AI452&AJ452	=AL452									MyButikAdditional	0																																																
																																		MagicBird	Regał [1 m³]: (z dostępem do strefy pakowania)	646,15	9	=AI453&AJ453	=AL453									MyButikFreight	9109,54																																																
																																		Mercator	Regał [1 m³]: (z dostępem do strefy pakowania)	1067,13	21	=AI454&AJ454	=AL454									MyButikHandling	6109,0325																																																
																																		Mirakulina	Regał [1 m³]: (z dostępem do strefy pakowania)	83,51	1	=AI455&AJ455	=AL455									MyButikMerchant Support	1208,7175																																																
																																		MonteNativ	Regał [1 m³]: (z dostępem do strefy pakowania)	83,27	2	=AI456&AJ456	=AL456									MyButikPackaging	469,175																																																
																																		Moonka	Regał [1 m³]: (z dostępem do strefy pakowania)	56,55	1	=AI457&AJ457	=AL457									MyButikWarehousing	757,205																																																
																																		MyBasic	Regał [1 m³]: (z dostępem do strefy pakowania)	27180,21	469	=AI458&AJ458	=AL458									NagoAdditional	0																																																
																																		NanoShower	Regał [1 m³]: (z dostępem do strefy pakowania)	321,48	5	=AI459&AJ459	=AL459									NanoShowerDiscount	0																																																
																																		NaturalNat	Regał [1 m³]: (z dostępem do strefy pakowania)	1,72	0	=AI460&AJ460	=AL460									NanoShowerFreight	0																																																
																																		Nikalab	Regał [1 m³]: (z dostępem do strefy pakowania)	682	12	=AI461&AJ461	=AL461									NanoShowerHandling	1390,2																																																
																																		Nordic	Regał [1 m³]: (z dostępem do strefy pakowania)	89,41	2	=AI462&AJ462	=AL462									NanoShowerPackaging	0																																																
																																		NuviaLab	Regał [1 m³]: (z dostępem do strefy pakowania)	267,57	5	=AI463&AJ463	=AL463									NanoShowerWarehousing	371,98																																																
																																		Olsen	Regał [1 m³]: (z dostępem do strefy pakowania)	19854,15	342	=AI464&AJ464	=AL464									NaturalNatFreight	383,365																																																
																																		OrganizerS	Regał [1 m³]: (z dostępem do strefy pakowania)	44,88	1	=AI465&AJ465	=AL465									NaturalNatHandling	573																																																
																																		Orientana	Regał [1 m³]: (z dostępem do strefy pakowania)	618,88	12	=AI466&AJ466	=AL466									NaturalNatMerchant Support	299																																																
																																		OryxIsles	Regał [1 m³]: (z dostępem do strefy pakowania)	877,47	13	=AI467&AJ467	=AL467									NaturalNatPackaging	0																																																
																																		PanPablo	Regał [1 m³]: (z dostępem do strefy pakowania)	22907,17	382	=AI468&AJ468	=AL468									NaturalNatWarehousing	86,38																																																
																																		PDSSmart	Regał [1 m³]: (z dostępem do strefy pakowania)	1354,32	25	=AI469&AJ469	=AL469									NEwhereUKAdditional	0																																																
																																		PerfectPur	Regał [1 m³]: (z dostępem do strefy pakowania)	51,08	1	=AI470&AJ470	=AL470									NEwhereUKFreight	0																																																
																																		PrzegladPr	Regał [1 m³]: (z dostępem do strefy pakowania)	88,46	2	=AI471&AJ471	=AL471									NEwhereUKHandling	0																																																
																																		Sablier	Regał [1 m³]: (z dostępem do strefy pakowania)	1806,02	27	=AI472&AJ472	=AL472									NEwhereUKMerchant Support	0																																																
																																		Smartware	Regał [1 m³]: (z dostępem do strefy pakowania)	172,81	3	=AI473&AJ473	=AL473									NEwhereUKPackaging	0																																																
																																		Strumpi	Regał [1 m³]: (z dostępem do strefy pakowania)	54,12	1	=AI474&AJ474	=AL474									NEwhereUKWarehousing	0																																																
																																		StudioMart	Regał [1 m³]: (z dostępem do strefy pakowania)	783,74	12	=AI475&AJ475	=AL475									"NewShaDrin
Re-invoice"	3499,211952																																																
																																		SugarFree	Regał [1 m³]: (z dostępem do strefy pakowania)	3208,58	55	=AI476&AJ476	=AL476									NikalabAdditional	0																																																
																																		VandaNowak	Regał [1 m³]: (z dostępem do strefy pakowania)	3576,02	66	=AI477&AJ477	=AL477									NikalabFreight	31235,7275																																																
																																		WeAreWild	Regał [1 m³]: (z dostępem do strefy pakowania)	407,07	6	=AI478&AJ478	=AL478									NikalabHandling	14024,9275																																																
																																		Wicked	Regał [1 m³]: (z dostępem do strefy pakowania)	1695,34	31	=AI479&AJ479	=AL479									NikalabIT Services	0																																																
																																		Forhumans	Regał [1 m³]: (z dostępem do strefy pakowania)	2053,21	38	=AI480&AJ480	=AL480									NikalabMerchant Support	450,13																																																
																																		SVRPolska	Regał [1 m³]: (z dostępem do strefy pakowania)	970,68	19	=AI481&AJ481	=AL481									NikalabPackaging	131,1625																																																
																																		Wunder	Regał [1 m³]: (z dostępem do strefy pakowania)	616,94	11	=AI482&AJ482	=AL482									NikalabWarehousing	1890,8425																																																
																																		Geberich	Regał [1 m³]: (z dostępem do strefy pakowania)	1444,28	27	=AI483&AJ483	=AL483									NohateFreight	0																																																
																																		Swag42	Regał [1 m³]: (z dostępem do strefy pakowania)	40,27	1	=AI484&AJ484	=AL484									NohateHandling	0																																																
																																		ArtWorks	Wieszak na ubrania [1 mb]	434,91	9	=AI485&AJ485	=AL485									NohateIT Services	0																																																
																																		Bizuu	Wieszak na ubrania [1 mb]	9788,7	163	=AI486&AJ486	=AL486									NohateMerchant Support	0																																																
																																		LaManiaFas	Wieszak na ubrania [1 mb]	6999,36	156	=AI487&AJ487	=AL487									NohatePackaging	0																																																
																																	wydanie_reszta_wsad	Fielmann	Dopłata za pakowanie zamówienia z produktem z kategorii specjalnej (10)	2045	799	=AI488&AJ488	=AL488									NohateWarehousing	0																																																
																																		FielmannCZ	Dopłata za pakowanie zamówienia z produktem z kategorii specjalnej (10)	440	172	=AI489&AJ489	=AL489									"Nordic
Re-invoice"	13097,4025																																																
																																		Fielmann	Dopłata za pakowanie zamówienia z produktem z kategorii specjalnej (20)	-zł	2583	=AI490&AJ490	=AL490									NordicAdditional	0																																																
																																		FielmannCZ	Dopłata za pakowanie zamówienia z produktem z kategorii specjalnej (20)	-zł	364	=AI491&AJ491	=AL491									NordicFreight	58022,63121																																																
																																		Darter180	Drukowanie i dołożenie faktury [szt.]	11	39	=AI492&AJ492	=AL492									NordicHandling	22883,3082																																																
																																		Fielmann	Drukowanie i dołożenie faktury [szt.]	507	1950	=AI493&AJ493	=AL493									NordicIT Services	7,09																																																
																																		FielmannCZ	Drukowanie i dołożenie faktury [szt.]	83	318	=AI494&AJ494	=AL494									NordicMerchant Support	1005,725																																																
																																		ArtWorks	Insertowanie [szt.]	135	465	=AI495&AJ495	=AL495									NordicPackaging	1244,4225																																																
																																		Bizuu	Insertowanie [szt.]	1545	5329	=AI496&AJ496	=AL496									NordicProject Management	2694,315																																																
																																		Dax	Insertowanie [szt.]	245	1168	=AI497&AJ497	=AL497									NordicWarehousing	7157,357865																																																
																																		Fielmann	Insertowanie [szt.]	538	2068	=AI498&AJ498	=AL498									NuviaLabAdditional	2190,7																																																
																																		FielmannCZ	Insertowanie [szt.]	91	350	=AI499&AJ499	=AL499									NuviaLabDiscount	0																																																
																																		GlobDesign	Insertowanie [szt.]	52	159	=AI500&AJ500	=AL500									NuviaLabFreight	586,06																																																
																																		Gugu	Insertowanie [szt.]	871	3003	=AI501&AJ501	=AL501									NuviaLabHandling	276,01																																																
																																		Himalaya	Insertowanie [szt.]	1171	3178	=AI502&AJ502	=AL502									NuviaLabPackaging	61,89																																																
																																		KMA	Insertowanie [szt.]	25	78	=AI503&AJ503	=AL503									NuviaLabProject Management	0																																																
																																		KrolestwoD	Insertowanie [szt.]	191	660	=AI504&AJ504	=AL504									NuviaLabWarehousing	170,7966667																																																
																																		LaMania	Insertowanie [szt.]	342	1368	=AI505&AJ505	=AL505									OlsenFreight	20039,005																																																
																																		LaManiaFas	Insertowanie [szt.]	1444	5775	=AI506&AJ506	=AL506									OlsenHandling	17514,155																																																
																																		LaRose	Insertowanie [szt.]	1681	5796	=AI507&AJ507	=AL507									OlsenMerchant Support	3266,13																																																
																																		LefleoPL	Insertowanie [szt.]	83	288	=AI508&AJ508	=AL508									OlsenPackaging	1493,47																																																
																																		Mercator	Insertowanie [szt.]	688	2294	=AI509&AJ509	=AL509									OlsenProject Management	199																																																
																																		MyBasic	Insertowanie [szt.]	2664	9515	=AI510&AJ510	=AL510									OlsenWarehousing	23686,2925																																																
																																		Nordic	Insertowanie [szt.]	41	102	=AI511&AJ511	=AL511									OM4FBPawelFreight	10,23																																																
																																		Orientana	Insertowanie [szt.]	391	1350	=AI512&AJ512	=AL512									OMBrodziakFreight	0																																																
																																		Ralls	Insertowanie [szt.]	2	8	=AI513&AJ513	=AL513									OMbrowarskFreight	0																																																
																																		Sablier	Insertowanie [szt.]	300	908	=AI514&AJ514	=AL514									OMBuzaFreight	99,9375																																																
																																		StudioMart	Insertowanie [szt.]	250	863	=AI515&AJ515	=AL515									OMCzekajFreight	0																																																
																																		WeAreWild	Insertowanie [szt.]	18656	53407	=AI516&AJ516	=AL516									OMKrzanowsFreight	0																																																
																																		Forhumans	Insertowanie [szt.]	199	481	=AI517&AJ517	=AL517									OMMarchewkFreight	0																																																
																																		Wunder	Insertowanie [szt.]	17	43	=AI518&AJ518	=AL518									OMMilewskiFreight	23,64																																																
																																		Geberich	Insertowanie [szt.]	3972	9886	=AI519&AJ519	=AL519									OMMilewskiPackaging	241,8																																																
																																		Ahojbaby	każde opakowanie zbiorcze [inner]	4	3	=AI520&AJ520	=AL520									OMMirzejewFreight	11,3																																																
																																		Australian	każde opakowanie zbiorcze [inner]	22	13	=AI521&AJ521	=AL521									OmnipackFreight	119,84																																																
																																		Bizuu	każde opakowanie zbiorcze [inner]	135	91	=AI522&AJ522	=AL522									OmnipackPackaging	15																																																
																																		Brothers	każde opakowanie zbiorcze [inner]	58	41	=AI523&AJ523	=AL523									OmniresHandling	0																																																
																																		ComfortCli	każde opakowanie zbiorcze [inner]	194	136	=AI524&AJ524	=AL524									OmniresWarehousing	0																																																
																																		EvelinePL	każde opakowanie zbiorcze [inner]	10	8	=AI525&AJ525	=AL525									OMPiaseckaFreight	0																																																
																																		Foxyband	każde opakowanie zbiorcze [inner]	2	1	=AI526&AJ526	=AL526									OMPocinskiFreight	10,23																																																
																																		GlobDesign	każde opakowanie zbiorcze [inner]	86	60	=AI527&AJ527	=AL527									OMPudlakFreight	0																																																
																																		Himalaya	każde opakowanie zbiorcze [inner]	47	26	=AI528&AJ528	=AL528									OMRadziszeFreight	0																																																
																																		HunterGath	każde opakowanie zbiorcze [inner]	222	127	=AI529&AJ529	=AL529									OMRafalowiFreight	0																																																
																																		KMA	każde opakowanie zbiorcze [inner]	116	76	=AI530&AJ530	=AL530									OMRafalSzcFreight	18,045																																																
																																		LaManiaFas	każde opakowanie zbiorcze [inner]	12	8	=AI531&AJ531	=AL531									OMRafałSzcFreight	0																																																
																																		LEVANN	każde opakowanie zbiorcze [inner]	7716	11182	=AI532&AJ532	=AL532									OMSenFreight	12,13																																																
																																		Mercator	każde opakowanie zbiorcze [inner]	1667	1113	=AI533&AJ533	=AL533									OMSmietansFreight	25,34																																																
																																		Moonka	każde opakowanie zbiorcze [inner]	3	2	=AI534&AJ534	=AL534									OMŚmietańsFreight	0																																																
																																		Nikalab	każde opakowanie zbiorcze [inner]	19	13	=AI535&AJ535	=AL535									OMWięckowsFreight	0																																																
																																		Nordic	każde opakowanie zbiorcze [inner]	1153	735	=AI536&AJ536	=AL536									OMWolskiFreight	14,90333333																																																
																																		OrganizerS	każde opakowanie zbiorcze [inner]	49	27	=AI537&AJ537	=AL537									OMWrochaFreight	0																																																
																																		Orientana	każde opakowanie zbiorcze [inner]	456	307	=AI538&AJ538	=AL538									OMZelaznyFreight	0																																																
																																		Ralls	każde opakowanie zbiorcze [inner]	47	47	=AI539&AJ539	=AL539									OrganizerSAdditional	0																																																
																																		Sablier	każde opakowanie zbiorcze [inner]	2	2	=AI540&AJ540	=AL540									OrganizerSFreight	3438,8075																																																
																																		WeAreWild	każde opakowanie zbiorcze [inner]	3193	30	=AI541&AJ541	=AL541									OrganizerSHandling	2991,4575																																																
																																		Barboza	każdy produkt w paczce [szt.]	1048	1231	=AI542&AJ542	=AL542									OrganizerSMerchant Support	35,38																																																
																																		Brothers	każdy produkt w paczce [szt.]	19	28	=AI543&AJ543	=AL543									OrganizerSPackaging	697,05																																																
																																		CieszeSie	każdy produkt w paczce [szt.]	1	1	=AI544&AJ544	=AL544									OrganizerSWarehousing	498,73																																																
																																		Coffeeness	każdy produkt w paczce [szt.]	237	214	=AI545&AJ545	=AL545									OrientanaAdvance	0																																																
																																		DanielWell	każdy produkt w paczce [szt.]	13	30	=AI546&AJ546	=AL546									OrientanaDiscount	0																																																
																																		Dax	każdy produkt w paczce [szt.]	909	3495	=AI547&AJ547	=AL547									OrientanaFreight	8664,9625																																																
																																		DrZdrowie	każdy produkt w paczce [szt.]	4	5	=AI548&AJ548	=AL548									OrientanaHandling	16297,2125																																																
																																		Gruo	każdy produkt w paczce [szt.]	2	3	=AI549&AJ549	=AL549									OrientanaIT Services	-70,025																																																
																																		Himalaya	każdy produkt w paczce [szt.]	5883	5522	=AI550&AJ550	=AL550									OrientanaMerchant Support	2116,48																																																
																																		KMA	każdy produkt w paczce [szt.]	233	324	=AI551&AJ551	=AL551									OrientanaPackaging	4979,865																																																
																																		Mercator	każdy produkt w paczce [szt.]	6166	9975	=AI552&AJ552	=AL552									OrientanaWarehousing	11977,62																																																
																																		MyButik	każdy produkt w paczce [szt.]	190	329	=AI553&AJ553	=AL553									ORMAdditional	0																																																
																																		NuviaLab	każdy produkt w paczce [szt.]	60	71	=AI554&AJ554	=AL554									ORMFreight	0																																																
																																		OrganizerS	każdy produkt w paczce [szt.]	79	132	=AI555&AJ555	=AL555									ORMHandling	0																																																
																																		Osa	każdy produkt w paczce [szt.]	33	31	=AI556&AJ556	=AL556									ORMPackaging	0																																																
																																		Wicked	każdy produkt w paczce [szt.]	1087	995	=AI557&AJ557	=AL557									ORMWarehousing	0																																																
																																		Forhumans	każdy produkt w paczce [szt.]	271	317	=AI558&AJ558	=AL558									OryxIslesDiscount	0																																																
																																		SVRPolska	każdy produkt w paczce [szt.]	201	341	=AI559&AJ559	=AL559									OryxIslesFreight	0																																																
																																		Wunder	każdy produkt w paczce [szt.]	256	299	=AI560&AJ560	=AL560									OryxIslesHandling	224,305																																																
																																		Geberich	każdy produkt w paczce [szt.]	9821	11578	=AI561&AJ561	=AL561									OryxIslesPackaging	327,955																																																
																																		ComfortCli	każdy produkt w paczce [szt.] grupa 1-a 0-bez kontroli produktu	424	278	=AI562&AJ562	=AL562									OryxIslesWarehousing	1079,435																																																
																																		Fielmann	każdy produkt w paczce [szt.] grupa 1-a 0-bez kontroli produktu	647	820	=AI563&AJ563	=AL563									OsaAdditional	1684,44																																																
																																		FielmannCZ	każdy produkt w paczce [szt.] grupa 1-a 0-bez kontroli produktu	156	197	=AI564&AJ564	=AL564									OsaFreight	544,265																																																
																																		LaMania	każdy produkt w paczce [szt.] grupa 1-a 0-bez kontroli produktu	3123	1940	=AI565&AJ565	=AL565									OsaHandling	3232,5325																																																
																																		LaMania	każdy produkt w paczce [szt.] grupa 1-a 1- z kontrolą produktu	1036	644	=AI566&AJ566	=AL566									OsaMerchant Support	13,23																																																
																																		ComfortCli	każdy produkt w paczce [szt.] grupa 2-b 0-bez kontroli produktu	3252	514	=AI567&AJ567	=AL567									OsaPackaging	118,1825																																																
																																		Fielmann	każdy produkt w paczce [szt.] grupa 2-b 0-bez kontroli produktu	2607	3300	=AI568&AJ568	=AL568									OsaWarehousing	302,9425																																																
																																		FielmannCZ	każdy produkt w paczce [szt.] grupa 2-b 0-bez kontroli produktu	352	446	=AI569&AJ569	=AL569									PandaWandaAdditional	0																																																
																																		LaMania	każdy produkt w paczce [szt.] grupa 2-b 0-bez kontroli produktu	3500	1667	=AI570&AJ570	=AL570									PanPabloFreight	7067,4025																																																
																																		LaMania	każdy produkt w paczce [szt.] grupa 2-b 1-z kontrolą produktu	174	83	=AI571&AJ571	=AL571									PanPabloHandling	13992,8975																																																
																																		ComfortCli	każdy produkt w paczce [szt.] grupa 3-c 0-bez kontroli produktu	17372	42962	=AI572&AJ572	=AL572									PanPabloIT Services	7,485																																																
																																		LaMania	każdy produkt w paczce [szt.] grupa 3-c 0-bez kontroli produktu	750	179	=AI573&AJ573	=AL573									PanPabloMerchant Support	3052,0625																																																
																																		LaMania	każdy produkt w paczce [szt.] grupa 3-c 1-z kontrolą produktu	4	1	=AI574&AJ574	=AL574									PanPabloPackaging	1355,505																																																
																																		LaMania	każdy produkt w paczce [szt.] grupa 4-d 0-bez kontroli produktu	293	27	=AI575&AJ575	=AL575									PanPabloWarehousing	24009,075																																																
																																		2drink	Kolejny produkt z danego SKU [szt.]	315	607	=AI576&AJ576	=AL576									PDSSmartAdditional	3202,37																																																
																																		Ahojbaby	Kolejny produkt z danego SKU [szt.]	356	726	=AI577&AJ577	=AL577									PDSSmartFreight	66,18																																																
																																		ArtWorks	Kolejny produkt z danego SKU [szt.]	165	424	=AI578&AJ578	=AL578									PDSSmartHandling	1756,0125																																																
																																		Australian	Kolejny produkt z danego SKU [szt.]	672	1068	=AI579&AJ579	=AL579									PDSSmartMerchant Support	1207,67																																																
																																		BilligVent	Kolejny produkt z danego SKU [szt.]	1713	1982	=AI580&AJ580	=AL580									PDSSmartPackaging	2,61																																																
																																		Bizuu	Kolejny produkt z danego SKU [szt.]	1297	2648	=AI581&AJ581	=AL581									PDSSmartWarehousing	1810,505																																																
																																		CancerFree	Kolejny produkt z danego SKU [szt.]	9	18	=AI582&AJ582	=AL582									"Penelopa
Re-invoice"	5250																																																
																																		ChLauPL	Kolejny produkt z danego SKU [szt.]	-zł	0	=AI583&AJ583	=AL583									PerfectPurAdditional	0																																																
																																		Darter180	Kolejny produkt z danego SKU [szt.]	25	44	=AI584&AJ584	=AL584									PerfectPurFreight	102,81																																																
																																		EvelineINT	Kolejny produkt z danego SKU [szt.]	175	500	=AI585&AJ585	=AL585									PerfectPurHandling	0																																																
																																		EvelinePL	Kolejny produkt z danego SKU [szt.]	5448	15567	=AI586&AJ586	=AL586									PerfectPurPackaging	0																																																
																																		Foxyband	Kolejny produkt z danego SKU [szt.]	9	17	=AI587&AJ587	=AL587									PerfectPurProject Management	0																																																
																																		FPBrand	Kolejny produkt z danego SKU [szt.]	760	1462	=AI588&AJ588	=AL588									PerfectPurWarehousing	51,075																																																
																																		Gemlook	Kolejny produkt z danego SKU [szt.]	-zł	0	=AI589&AJ589	=AL589									PrzegladPrWarehousing	138,46																																																
																																		GlobDesign	Kolejny produkt z danego SKU [szt.]	5444	13960	=AI590&AJ590	=AL590									RajpolHandling	0																																																
																																		Gugu	Kolejny produkt z danego SKU [szt.]	95	329	=AI591&AJ591	=AL591									RajpolProject Management	0																																																
																																		Himalaya	Kolejny produkt z danego SKU [szt.]	2269	3549	=AI592&AJ592	=AL592									RallsAdditional	500,24																																																
																																		HomeSpot	Kolejny produkt z danego SKU [szt.]	22	42	=AI593&AJ593	=AL593									RallsAdvance	0																																																
																																		HunterGath	Kolejny produkt z danego SKU [szt.]	12	19	=AI594&AJ594	=AL594									RallsFreight	1174,7775																																																
																																		Jemyzdrowo	Kolejny produkt z danego SKU [szt.]	28	88	=AI595&AJ595	=AL595									RallsHandling	2646,95																																																
																																		Kiekkotorn	Kolejny produkt z danego SKU [szt.]	845	1519	=AI596&AJ596	=AL596									RallsMerchant Support	313,875																																																
																																		Klarta	Kolejny produkt z danego SKU [szt.]	330	635	=AI597&AJ597	=AL597									RallsPackaging	270,265																																																
																																		KrolestwoD	Kolejny produkt z danego SKU [szt.]	163	332	=AI598&AJ598	=AL598									RallsWarehousing	721,845																																																
																																		LaManiaFas	Kolejny produkt z danego SKU [szt.]	4079	9271	=AI599&AJ599	=AL599									RegenProject Management	0																																																
																																		LaRose	Kolejny produkt z danego SKU [szt.]	900	2000	=AI600&AJ600	=AL600									RUNMAGEDOOAdditional	0																																																
																																		LefleoPL	Kolejny produkt z danego SKU [szt.]	28	72	=AI601&AJ601	=AL601									RUNMAGEDOOFreight	0																																																
																																		LEVANN	Kolejny produkt z danego SKU [szt.]	3246	21639	=AI602&AJ602	=AL602									RUNMAGEDOOHandling	0																																																
																																		Longvadon	Kolejny produkt z danego SKU [szt.]	2	4	=AI603&AJ603	=AL603									RUNMAGEDOOIT Services	0																																																
																																		Mirakulina	Kolejny produkt z danego SKU [szt.]	3	6	=AI604&AJ604	=AL604									RUNMAGEDOOMerchant Support	0																																																
																																		MonteNativ	Kolejny produkt z danego SKU [szt.]	82	264	=AI605&AJ605	=AL605									RUNMAGEDOOPackaging	0																																																
																																		Moonka	Kolejny produkt z danego SKU [szt.]	21	41	=AI606&AJ606	=AL606									RUNMAGEDOOWarehousing	0																																																
																																		MyBasic	Kolejny produkt z danego SKU [szt.]	561	1438	=AI607&AJ607	=AL607									SablierFreight	11842,165																																																
																																		Nikalab	Kolejny produkt z danego SKU [szt.]	172	352	=AI608&AJ608	=AL608									SablierHandling	9750,86																																																
																																		Nordic	Kolejny produkt z danego SKU [szt.]	1204	2208	=AI609&AJ609	=AL609									SablierMerchant Support	1028,75																																																
																																		Olsen	Kolejny produkt z danego SKU [szt.]	820	1674	=AI610&AJ610	=AL610									SablierPackaging	557,5275																																																
																																		Orientana	Kolejny produkt z danego SKU [szt.]	5917	15171	=AI611&AJ611	=AL611									SablierWarehousing	2205,0575																																																
																																		PanPablo	Kolejny produkt z danego SKU [szt.]	18	37	=AI612&AJ612	=AL612									SeverTradeAdditional	0																																																
																																		Ralls	Kolejny produkt z danego SKU [szt.]	20	41	=AI613&AJ613	=AL613									"ShipBob
Re-invoice"	88857,99																																																
																																		Sablier	Kolejny produkt z danego SKU [szt.]	368	707	=AI614&AJ614	=AL614									ShipBobAdditional	2364,635																																																
																																		Strumpi	Kolejny produkt z danego SKU [szt.]	5	17	=AI615&AJ615	=AL615									ShipBobFreight	223397,3375																																																
																																		StudioMart	Kolejny produkt z danego SKU [szt.]	1	3	=AI616&AJ616	=AL616									ShipBobHandling	55585,3875																																																
																																		SugarFree	Kolejny produkt z danego SKU [szt.]	210	430	=AI617&AJ617	=AL617									ShipBobMerchant Support	12532,95																																																
																																		TPV	Kolejny produkt z danego SKU [szt.]	-zł	0	=AI618&AJ618	=AL618									ShipBobPackaging	6156,73																																																
																																		VandaNowak	Kolejny produkt z danego SKU [szt.]	53	102	=AI619&AJ619	=AL619									ShipBobProject Management	16583,2																																																
																																		WeAreWild	Kolejny produkt z danego SKU [szt.]	20965	51835	=AI620&AJ620	=AL620									ShipBobWarehousing	103806,18																																																
																																		Dax	Kontrola daty ważności na wydaniu [opakowanie zbiorcze]	-zł	7	=AI621&AJ621	=AL621									SmartwareAdditional	0																																																
																																		Himalaya	Kontrola daty ważności na wydaniu [opakowanie zbiorcze]	8	21	=AI622&AJ622	=AL622									SmartwareFreight	656,615																																																
																																		HunterGath	Kontrola daty ważności na wydaniu [opakowanie zbiorcze]	108	127	=AI623&AJ623	=AL623									SmartwareHandling	312,78																																																
																																		LEVANN	Kontrola daty ważności na wydaniu [opakowanie zbiorcze]	972	9719	=AI624&AJ624	=AL624									SmartwarePackaging	0																																																
																																		Nikalab	Kontrola daty ważności na wydaniu [opakowanie zbiorcze]	1	5	=AI625&AJ625	=AL625									SmartwareWarehousing	507,09																																																
																																		Nordic	Kontrola daty ważności na wydaniu [opakowanie zbiorcze]	445	827	=AI626&AJ626	=AL626									StreetSuppFreight	0																																																
																																		Ralls	Kontrola daty ważności na wydaniu [opakowanie zbiorcze]	14	45	=AI627&AJ627	=AL627									StreetSuppHandling	0																																																
																																		2drink	Kontrola daty ważności na wydaniu [szt.]	179	1117	=AI628&AJ628	=AL628									StreetSuppMerchant Support	0																																																
																																		Australian	Kontrola daty ważności na wydaniu [szt.]	31	172	=AI629&AJ629	=AL629									StreetSuppPackaging	0																																																
																																		CancerFree	Kontrola daty ważności na wydaniu [szt.]	7	42	=AI630&AJ630	=AL630									StreetSuppWarehousing	0																																																
																																		Dax	Kontrola daty ważności na wydaniu [szt.]	-zł	4697	=AI631&AJ631	=AL631									StrumpiAdditional	0																																																
																																		DrZdrowie	Kontrola daty ważności na wydaniu [szt.]	2	5	=AI632&AJ632	=AL632									StrumpiDiscount	0																																																
																																		Himalaya	Kontrola daty ważności na wydaniu [szt.]	912	4997	=AI633&AJ633	=AL633									StrumpiFreight	4452,090905																																																
																																		HunterGath	Kontrola daty ważności na wydaniu [szt.]	11	28	=AI634&AJ634	=AL634									StrumpiHandling	962,59																																																
																																		Jemyzdrowo	Kontrola daty ważności na wydaniu [szt.]	157	849	=AI635&AJ635	=AL635									StrumpiMerchant Support	379,3825																																																
																																		Kiekkotorn	Kontrola daty ważności na wydaniu [szt.]	386	2084	=AI636&AJ636	=AL636									StrumpiPackaging	111,14																																																
																																		LaRose	Kontrola daty ważności na wydaniu [szt.]	1149	12762	=AI637&AJ637	=AL637									StrumpiWarehousing	409,32																																																
																																		LEVANN	Kontrola daty ważności na wydaniu [szt.]	1270	25397	=AI638&AJ638	=AL638									StudioMartFreight	4489,7																																																
																																		Mirakulina	Kontrola daty ważności na wydaniu [szt.]	38	78	=AI639&AJ639	=AL639									StudioMartHandling	5526,5775																																																
																																		MonteNativ	Kontrola daty ważności na wydaniu [szt.]	42	317	=AI640&AJ640	=AL640									StudioMartMerchant Support	929,3575																																																
																																		Nikalab	Kontrola daty ważności na wydaniu [szt.]	525	3280	=AI641&AJ641	=AL641									StudioMartPackaging	580,495																																																
																																		Nordic	Kontrola daty ważności na wydaniu [szt.]	1189	4385	=AI642&AJ642	=AL642									StudioMartWarehousing	1161,4575																																																
																																		Ralls	Kontrola daty ważności na wydaniu [szt.]	39	242	=AI643&AJ643	=AL643									SugarFreeAdditional	0																																																
																																		Sablier	Kontrola daty ważności na wydaniu [szt.]	37	196	=AI644&AJ644	=AL644									SugarFreeDiscount	0																																																
																																		2drink	Niezrealizowana Gwarancja Wysyłkowa	136	28	=AI645&AJ645	=AL645									SugarFreeFreight	4097,72																																																
																																		Ahojbaby	Niezrealizowana Gwarancja Wysyłkowa	101	26	=AI646&AJ646	=AL646									SugarFreeHandling	3596,92																																																
																																		ArtWorks	Niezrealizowana Gwarancja Wysyłkowa	893	242	=AI647&AJ647	=AL647									SugarFreeMerchant Support	215,22																																																
